year,league,category,statistic,player,team,value
2022,NL,hitting,Slugging,Average Paul,Goldschmidt St. Louis Cardinals,.578
2022,NL,hitting,Stolen,Bases Jon,Berti Miami Marlins,41
2022,NL,hitting,Total,Bases Austin,Riley Atlanta Braves,325
2022,NL,hitting,Triples,Gavin Lux,Los Angeles Dodgers,7
2022,NL,hitting,Brandon,Nimmo New,York Mets,7
2022,NL,pitching,Complete,Games Sandy,Alcantara Miami Marlins,6
2022,NL,pitching,ERA Julio Urías,Los Angeles,Dodgers,2.16
2022,NL,pitching,Games,John Brebbia,San Francisco Giants,76
2022,NL,pitching,Saves,Kenley Jansen,Atlanta Braves,41
2022,NL,pitching,Shutouts,Sandy Alcantara,Miami Marlins,1
2022,NL,pitching,Walker,Buehler Los,Angeles Dodgers,1
2022,NL,pitching,Bryce,Elder Atlanta,Braves,1
2022,NL,pitching,Hunter,Greene Cincinnati,Reds,1
2022,NL,pitching,Chad,Kuhl Colorado,Rockies,1
2022,NL,pitching,Jordan,Montgomery St.,Louis Cardinals,1
2022,NL,pitching,Aaron,Nola Philadelphia,Phillies,1
2022,NL,pitching,Strikeouts,Corbin Burnes,Milwaukee Brewers,243
2022,NL,pitching,Winning,Percentage Kyle,Wright Atlanta Braves,.808
2022,NL,pitching,Wins,Kyle Wright,Atlanta Braves,21
2023,AL,hitting,Base on,Balls J.P.,Crawford Seattle Mariners,94
2023,AL,hitting,Batting,Average Yandy,Díaz Tampa Bay Rays,.330
2023,AL,hitting,Doubles,Corey Seager,Texas Rangers,42
2023,AL,hitting,Hits,Marcus Semien,Texas Rangers,185
2023,AL,hitting,Home,Runs Shohei,Ohtani Los Angeles Angels,44
2023,AL,hitting,On,Base Percentage,Shohei Ohtani Los Angeles Angels,.412
2023,AL,hitting,RBI,Kyle Tucker,Houston Astros,112
2023,AL,hitting,Runs,Marcus Semien,Texas Rangers,122
2023,AL,hitting,Slugging,Average Shohei,Ohtani Los Angeles Angels,.654
2023,AL,hitting,Stolen,Bases Esteury,Ruiz Oakland Athletics,67
2023,AL,hitting,Total,Bases Shohei,Ohtani Los Angeles Angels,325
2023,AL,hitting,Triples,Bobby Witt,Jr. Kansas City Royals,11
2023,AL,pitching,Complete,Games Jordan,Lyles Kansas City Royals,3
2023,AL,pitching,ERA,Gerrit Cole,New York Yankees,2.63
2023,AL,pitching,Games,Matt Brash,Seattle Mariners,78
2023,AL,pitching,Saves,Emmanuel Clase,Cleveland Guardians,44
2023,AL,pitching,Shutouts,Gerrit Cole,New York Yankees,2
2023,AL,pitching,Framber,Valdez Houston,Astros,2
2023,AL,pitching,Strikeouts,Kevin Gausman,Toronto Blue Jays,237
2023,AL,pitching,Winning,Percentage Gerrit,Cole New York Yankees,.789
2023,AL,pitching,Wins,Chris Bassitt,Toronto Blue Jays,16
2023,AL,pitching,Zach,Eflin Tampa,Bay Rays,16
2023,NL,hitting,Base on,Balls Juan,Soto San Diego Padres,132
2023,NL,hitting,Batting,Average Luis,Arraez Miami Marlins,.354
2023,NL,hitting,Doubles,Freddie Freeman,Los Angeles Dodgers,59
2023,NL,hitting,Hits Ronald Acuña,Jr. Atlanta,Braves,217
2023,NL,hitting,Home,Runs Matt,Olson Atlanta Braves,54
2023,NL,hitting,On,Base Percentage,Ronald Acuña Jr. Atlanta Braves,.416
2023,NL,hitting,RBI,Matt Olson,Atlanta Braves,139
2023,NL,hitting,Runs Ronald Acuña,Jr. Atlanta,Braves,149
2023,NL,hitting,Slugging,Average Matt,Olson Atlanta Braves,.604
2023,NL,hitting,Stolen,Bases Ronald,Acuña Jr. Atlanta Braves,73
2023,NL,hitting,Total,Bases Ronald,Acuña Jr. Atlanta Braves,383
2023,NL,hitting,Triples,Corbin Carroll,Arizona Diamondbacks,10
2023,NL,pitching,Complete,Games Sandy,Alcantara Miami Marlins,3
2023,NL,pitching,ERA,Blake Snell,San Diego Padres,2.25
2023,NL,pitching,Games,Miguel Castro,Arizona Diamondbacks,75
2023,NL,pitching,Saves,David Bednar,Pittsburgh Pirates,39
2023,NL,pitching,Camilo,Doval San,Francisco Giants,39
2023,NL,pitching,Shutouts,Sandy Alcantara,Miami Marlins,1
2023,NL,pitching,Alex,Cobb San,Francisco Giants,1
2023,NL,pitching,Max,Fried Atlanta,Braves,1
2023,NL,pitching,Zac,Gallen Arizona,Diamondbacks,1
2023,NL,pitching,Mitch,Keller Pittsburgh,Pirates,1
2023,NL,pitching,Michael,Lorenzen Philadelphia,Phillies,1
2023,NL,pitching,Johan,Oviedo Pittsburgh,Pirates,1
2023,NL,pitching,Marcus,Stroman Chicago,Cubs,1
2023,NL,pitching,Logan,Webb San,Francisco Giants,1
2023,NL,pitching,Brandon,Woodruff Milwaukee,Brewers,1
2023,NL,pitching,Strikeouts,Spencer Strider,Atlanta Braves,281
2023,NL,pitching,Winning,Percentage Spencer,Strider Atlanta Braves,.800
2023,NL,pitching,Wins,Spencer Strider,Atlanta Braves,20
2024,AL,hitting,Base on,Balls Aaron,Judge New York,133
2024,AL,hitting,Batting,Average Bobby,Witt Jr. Kansas City,.332
2024,AL,hitting,Doubles,Jarren Duran,Boston,48
2024,AL,hitting,Hits,Bobby Witt,Jr. Kansas City,211
2024,AL,hitting,Home,Runs Aaron,Judge New York,58
2024,AL,hitting,On,Base Percentage,Aaron Judge New York,.458
2024,AL,hitting,RBI,Aaron Judge,New York,144
2024,AL,hitting,Runs,Juan Soto,New York,128
2024,AL,hitting,Slugging,Average Aaron,Judge New York,.701
2024,AL,hitting,Stolen,Bases Jose,Caballero Tampa Bay,44
2024,AL,hitting,Total,Bases Aaron,Judge New York,392
2024,AL,hitting,Triples,Jarren Duran,Boston,14
2024,AL,pitching,Complete,Games Kevin,Gausman Toronto,2
2024,AL,pitching,ERA,Tarik Skubal,Detroit,2.39
2024,AL,pitching,Games,T.J. McFarland,Oakland,79
2024,AL,pitching,Saves,Emmanuel Clase,Cleveland,47
2024,AL,pitching,Shutouts,Ronel Blanco,Houston,1
2024,AL,pitching,Strikeouts,Tarik Skubal,Detroit,228
2024,AL,pitching,Winning,Percentage Tarik,Skubal Detroit,.818
2024,AL,pitching,Wins,Tarik Skubal,Detroit,18
2024,NL,hitting,Base on,Balls Kyle,Schwarber Philadelphia,105
2024,NL,hitting,Batting,Average Luis,Arraez Miami,.314
2024,NL,hitting,Doubles,Ezequiel Tovar,Colorado,45
2024,NL,hitting,Hits,Luis Arraez,Miami,200
2024,NL,hitting,Home,Runs Shohei,Ohtani Los Angeles,54
2024,NL,hitting,On,Base Percentage,Shohei Ohtani Los Angeles,.390
2024,NL,hitting,RBI,Shohei Ohtani,Los Angeles,130
2024,NL,hitting,Runs,Shohei Ohtani,Los Angeles,134
2024,NL,hitting,Slugging,Average Shohei,Ohtani Los Angeles,.646
2024,NL,hitting,Stolen,Bases Elly,De La Cruz Cincinnati,67
2024,NL,hitting,Total,Bases Shohei,Ohtani Los Angeles,411
2024,NL,hitting,Triples,Corbin Carroll,Arizona,14
2024,NL,pitching,Complete,Games Max,Fried Atlanta,2
2024,NL,pitching,ERA,Chris Sale,Atlanta,2.38
2024,NL,pitching,Games,Tyler Rogers,San Francisco,77
2024,NL,pitching,Saves,Ryan Helsley,St. Louis,49
2024,NL,pitching,Shutouts,Dylan Cease,San Diego,1
2024,NL,pitching,Luis,Severino New,York,1
2024,NL,pitching,Blake,Snell San,Francisco,1
2024,NL,pitching,Gavin,Stone Los,Angeles,1
2024,NL,pitching,Logan,Webb San,Francisco,1
2024,NL,pitching,Strikeouts,Chris Sale,Atlanta,225
2024,NL,pitching,Winning,Percentage Chris,Sale Atlanta,.857
2024,NL,pitching,Wins,Chris Sale,Atlanta,18
